,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
200,fish moilee,fish,"​बासा मछली, प्याज , अदरक, लहसुन की कलियां, हरी मिर्च, हल्दी, लाल मिर्च पाउडर, धनिया पाउडर, नींबू का रस, कढ़ीपत्ता, रिफाइंड तेल, रिफाइंड आॅयल, सरसों के दाने, कालीमिर्च, सौंफ , हरी इलाइची, नारियल दूध, चेरी टमाटर",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,375
201,batter fish,fish,"ताजी मछली के पीस (रिवर सोल या सी बास), मैदा, पासर्ले, तेल , बेकिंग पाउडर, मैदा, अंडा (वैकल्पिक), सोडा वॉटर, नमक और कालीमिर्च",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,280
202,fish salan,fish,"किंग फिश, पके टमाटर, देसी घी, अदरक-लहसुन का पेस्ट, प्याज, हल्दी पाउडर, लाल मिर्च पाउडर, कालीमिर्च पाउडर, गरम मसाला, सौंठ, हल्दी पाउडर, सौंफ पाउडर, रिफाइंड आॅयल, नमक , पानी",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,290
203,spanish fish fry,fish,"सॉल फिश, टमाटर, प्याज, नींबू का रस, आॅलिव आॅयल, अदरक और लहसुन का पेस्ट, तेजपत्ता, दालचीनी स्टिक, हरी मिर्च, सिरका, नमक, पानी",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,405
204,prawn potato soup,soup,"प्याज, आलू, प्रॉन्स, अंडे, दूध, मक्खन, हरा धनिया , नमक, पानी",veg,sodium, obesity pregnancy, high_fiber_diet alkaline_diet low_fat_diet gluten_free_diet high_protien_diet,565
205,red rice vermicelli kheer,rice,"red rice vermicelli / broken sooji / semolina vermicelli, butter, almonds, whole milk, cardamom powder, saffron strands / thread, sugar",veg,carbohydrates, scurvy obesity cancer diabeties kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet vegan_diet high_protien_diet,460
206,riceless chicken biryani,rice,"malabar peppercorn, cinnamon stick, green cardamom pods, star anise, cloves, fennel seeds, vermicelli, desi ghee, shahi jeera, bay leaves, green chilli, mint leaves, onion, saffron, garlic paste, salt, chicken (dark meat), ginger paste, turmeric powder, coriander powder, red chilli powder, roma tomatoes (de-seedeed), water",non-veg,vitamin_c, rickets anemia kidney_disease goitre pregnancy, hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,380
207,green cucumber shots,rice,"english cucumbers, garlic cloves (smashed), romaine lettuce, basil, parsley, cilantro, big lemon, sea salt, olive oil",veg,iron, goitre heart_disease scurvy diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet alkaline_diet hormone_diet low_fat_diet vegan_diet,405
208,thai pineapple rice,rice,"rice, onion, thai ginger , fresh turmeric, curry leaf, lemon grass, coconut milk, salt, hot curry powder, pineapple chunks, oil, water, turmeric powder, fresh pineapple",veg,carbohydrates, kidney_disease anemia obesity diabeties, dash_diet vegan_diet ketogenic_diet high_protien_diet,285
209,green asparagus risotto,rice,"carnaroli rice, vegetable broth, butter, extra virgin olive oil, parmigiano cheese, onion (minced), white wine, salt & pepper",veg,chloride, goitre heart_disease scurvy diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet alkaline_diet hormone_diet,590
210,goan prawn curry &amp; baked rice canapes,rice,"jeera whole, coriander seeds, kashmiri chilly, garlic, ginger, green chillies, kokum, coconut, onion, tomatoes, coriander, prawns, salt, turmeric powder, garlic paste, asafoetida, refined oil, ginger paste, goan rice, coconut milk, green chillies, fresh coconut, hing, refined oil, coriander leaves, basmati rice, coconut milk, green chillies, coconut milk, coconut, salt, green chillies, curry leaf, lecite",veg,iron, anemia obesity goitre diabeties, dash_diet high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet vegan_diet,615
211,veg fried rice,rice,"oil, ginger-garlic paste, spring onion, carrot, cabbage, capsicum, salt, soy sauce, vinegar, rice",veg,carbohydrates, anemia obesity cancer diabeties, dash_diet ketogenic_diet alkaline_diet hormone_diet vegan_diet high_protien_diet,530
212,egg and garlic fried rice,rice,"oil, garlic, spring onion , ginger, red chilli , egg, cooked rice, salt, black pepper powder, soya sauce",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet hormone_diet low_sodium_diet low_fat_diet type_a_diet vegan_diet high_protien_diet,635
213,curd rice,rice,"rice, water, curd, milk, carrot, green chilli, ginger, salt, coriander leaves, oil, mustard seeds, chana dal, urad dal, curry leaves, red chilli, hing",veg,iron, anemia obesity diabeties, dash_diet high_fiber_diet ketogenic_diet low_fat_diet vegan_diet,650
214,fried rice with soya chunks,rice,"basmati rice, carrot, capsicum, beans, green peas, ginger, garlic, green chillies, bay leaf, cinnamon sticks, green cardamoms, clove, soya chunks, salt,",veg,iron, obesity cancer diabeties kidney_disease anemia, dash_diet high_fiber_diet ketogenic_diet alkaline_diet hormone_diet low_fat_diet vegan_diet,370
215,cauliflower and chicken biryani,rice,"boneless chicken, biryani masala, yogurt, onions, coconut oil, cauliflower, coconut (diced), onion (diced), peppercorns, cardamoms, cumin seeds, bay leaves, cinnamon, cloves, coconut oil, garam masala, dry chilli flakes, turmeric powder, black peppercorns, cardamom, cinnamon, garlic (crushed), tomato puree, green chillies, fresh ginger (peeled), dry red chilli, salt",non-veg,chloride, goitre rickets cancer kidney_disease anemia pregnancy, dash_diet ketogenic_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,540
216,chicken quinoa biryani,rice,"onions, tomato, green chillies(slit open), ginger garlic paste, mint leaves, coriander leaves/cilantro, fresh yogurt/curd(beaten), turmeric powder, chilli powder, salt, chicken (cut into pieces), garam masala powder, ginger garlic paste, yogurt/curd,  chilli powder, coriander powder, salt, oil, cloves, bay leaf , cardamom",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, dash_diet high_fiber_diet hormone_diet low_sodium_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,545
217,corn pulao,rice,"basmati rice, american corn kernels, olive oil, onion, ginger garlic paste, salt, green chillies, cumin seed, bay leaf, pepper corn, cloves, hot water, coriander leaves, lime juice, bell pepper (sautéed and diced), coconut",veg,iron, goitre diabeties, high_fiber_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,245
218,zucchini methi pulao,rice,"zucchini, basmati rice, fenugreek (methi), clarified butter (desi ghee), clarified butter (desi ghee), cumin seeds (jeera), asafoetida (heeng), green chilles, ginger, salt",veg,chloride, goitre diabeties, ketogenic_diet,690
219,lemon rice,rice,"cooked basmati rice, oil, asafoetida (heeng), mustard seeds (sarson), curry leaves (kadhi patta), whole red chilli (sabut laal mirch), turmeric powder(haldi), salt, lemon juice, peanuts, urad dal, chana dal, ginger",veg,magnesium, scurvy obesity anemia diabeties, dash_diet high_fiber_diet ketogenic_diet vegan_diet high_protien_diet,695
220,kale channe ki biryani,rice,"black gram (kala chana), basmati rice (soaked for 2 hours), cinnamon, green cardamoms, cloves, ghee, black cardamoms, black peppercorns, bay leaves, onions, green chillies (slit), ginger-garlic paste, coriander powder, turmeric powder, yogurt, fresh mint leaves, fresh coriander leaves, garam masala powder, red chilli powder, salt, cashew nuts, almonds, milk, fresh cream, saffron, ginger, screw pine essence (kewra), browned onions, whole wheat flour dough",veg,calcium, heart_disease scurvy diabeties kidney_disease pregnancy, dash_diet high_fiber_diet ketogenic_diet low_fat_diet vegan_diet high_protien_diet,605
221,chicken paella,rice,"chicken, oil, salt and pepper, paprika powder, chilli flakes, garlic paste, onions, bell peppers, rice, vegetable stock, saffron, peas, olives, parsley, white wine",non-veg,chloride, rickets anemia kidney_disease goitre pregnancy, hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,600
222,thai fish curry,rice,"fish (cubed), thai green curry paste, oil, onions, garlic, ginger/galangal, coconut milk, coriander, lemon juice, palm sugar, basil leaves, salt & pepper",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,225
223,vegetable pulao,rice,"water, basmati rice, ghee, paneer (cooked), carrot, beans, peas, elaichi, cardamoms, cinnamon, bay leaves, cumin seeds, chilli powder, turmeric, salt, coriander leaves",veg,phosphorus, kidney_disease scurvy obesity heart_disease, high_fiber_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,480
224,oats &amp; shallots pulao,rice,"चावल, हरा धनिया, हरी मिर्च, प्याज , दालचीनी, इलाइची, लौंग , लाल मिर्च पाउडर, नमक, गार्लिक फलेक्स, अदरक , शैलेट, जैतून का तेल",veg,protien, hypertension, dash_diet gluten_free_diet high_protien_diet,310
225,shiitake fried rice with water chestnuts,rice,"शिटाके मशरूम , वेजिटेबल आॅयल, लहसुन की कलियां, हरी मिर्च, सिंघाड़े, प्याज, लीक्स, सेलेरी, अदरक, तिल का तेल, चावल पके हुए, सफेद मिर्च, नमक, राइस वाइन विनेगर, हरी प्याज, छोटा बंच पासर्ले, तिल का तेल",veg,carbohydrates, goitre obesity cancer diabeties kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet alkaline_diet hormone_diet vegan_diet high_protien_diet,245
226,thai pineapple rice,rice,"चावल, प्याज, थाई अदरक, फ्रेश हल्दी, कढ़ीपत्ता, लेमनग्रास, नारियल मिल्क, नमक, हॉट करी पाउडर, पाइनएप्पल के टुकड़े, तेल, पानी, हल्दी पाउडर, ताजा पाइनएप्पल",veg,carbohydrates, kidney_disease anemia obesity diabeties, dash_diet vegan_diet ketogenic_diet high_protien_diet,320
